Operator Name,Liquid Recovery (Barrels),Net Loss (Barrels)
VALERO PARTNERS OPERATING CO. LLC,5,30
ENTERPRISE CRUDE PIPELINE LLC,0.01,0
"MAGELLAN PIPELINE COMPANY, LP",581,51
"ONEOK NGL PIPELINE, LLC",0,0.1
ENTERPRISE CRUDE PIPELINE LLC,0.5,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.2
ENTERPRISE PRODUCTS OPERATING LLC,0,0.2
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.01,0
"MAGELLAN PIPELINE COMPANY, LP",10.8,0
"FIELDWOOD ENERGY, LLC",0,0.02
ENTERPRISE CRUDE PIPELINE LLC,1.5,0
WEST TEXAS GULF PIPELINE CO,0,1
SUNOCO PIPELINE L.P.,25,5
ENTERPRISE PRODUCTS OPERATING LLC,0,0.2
"MAGELLAN PIPELINE COMPANY, LP",0.2,0
"ENERGY XXI USA, INC",5,0
ENTERPRISE PRODUCTS OPERATING LLC,0.7,0.7
COLONIAL PIPELINE CO,0.28,0
"CRIMSON GULF, LLC",0,220
"MAGELLAN TERMINALS HOLDINGS, LP",53,0.47
SUNOCO PIPELINE L.P.,1,1
SUNOCO PIPELINE L.P.,0,2
"CHAPARRAL ENERGY, LLC",0,1181
ROSE ROCK MIDSTREAM L.P.,40,0
COLONIAL PIPELINE CO,3.69,0
ENERGY TRANSFER COMPANY,1,0
VALERO PARTNERS OPERATING CO. LLC,798,0
"BKEP PIPELINE, LLC",211,14
"VITOL MIDSTREAM, LLC",15,4
"CCPS TRANSPORTATION, LLC",1.14,0
ENTERPRISE CRUDE PIPELINE LLC,1000,0
ENTERPRISE PRODUCTS OPERATING LLC,0.1,0
ENERGY TRANSFER COMPANY,0,443
"PLAINS PIPELINE, L.P.",0.75,0
CRIMSON PIPELINE L.P.,210,1
"SHELL PIPELINE CO., L.P.",4.93,0
ENTERPRISE CRUDE PIPELINE LLC,1.5,0
"PLAINS PIPELINE, L.P.",10,0
ENTERPRISE CRUDE PIPELINE LLC,0.5,0
"SHELL PIPELINE CO., L.P.",0.48,0.47
"CHAPARRAL ENERGY, LLC",0,21
"ONEOK NGL PIPELINE, LLC",0,0.02
"PLAINS PIPELINE, L.P.",2,0
"MAGELLAN PIPELINE COMPANY, LP",9.76,0
"MAGELLAN PIPELINE COMPANY, LP",2,8
SEADRIFT PIPELINE CORP,0,0.8
ENTERPRISE CRUDE PIPELINE LLC,3,0
PHILLIPS 66 PIPELINE LLC,0.24,0.35
"PLAINS PIPELINE, L.P.",1600,250
PHILLIPS 66 PIPELINE LLC,0,0.35
"MAGELLAN PIPELINE COMPANY, LP",1.8,0
PLANTATION PIPE LINE CO,1.07,0
"PLAINS MARKETING, L.P.",4,0
"PLAINS PIPELINE, L.P.",200,0
COLONIAL PIPELINE CO,19.5,2834
MID - VALLEY PIPELINE CO,10,0
"MID-CONTINENT FRACTIONATION AND STORAGE, L.L.C.",0,140
"MAGELLAN PIPELINE COMPANY, LP",10,1
COLONIAL PIPELINE CO,0.3,0.01
MARATHON PIPE LINE LLC,0,0.2
ENTERPRISE CRUDE PIPELINE LLC,2,0
ENTERPRISE CRUDE PIPELINE LLC,0.5,0
"MAGELLAN TERMINALS HOLDINGS, LP",1,0
ENTERPRISE PRODUCTS OPERATING LLC,20,149
WILLIAMS FIELD SERVICES,0,1.1
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,0.24
IMTT-BAYONNE,200,319
EXXONMOBIL OIL CORP - WEST COAST,0.48,0
TESORO HIGH PLAINS PIPELINE COMPANY LLC,1,0
SUNOCO PIPELINE L.P.,1.4,0
JAYHAWK PIPELINE LLC,0.75,0.85
ENTERPRISE PRODUCTS OPERATING LLC,0,1
WEST SHORE PIPELINE CO,1,0
"KINDER MORGAN LIQUID TERMINALS, LLC",484,1
"ONEOK NGL PIPELINE, LLC",0,0.02
COLONIAL PIPELINE CO,2.67,0
ENTERPRISE PRODUCTS OPERATING LLC,1,0
"DELEK LOGISTICS OPERATING, LLC.",160,20
PHILLIPS 66 PIPELINE LLC,2.8,0
ENTERPRISE PRODUCTS OPERATING LLC,480,53
"GENESIS PIPELINE USA, L.P.",11,0
COLONIAL PIPELINE CO,11,0
TESORO HIGH PLAINS PIPELINE COMPANY LLC,22.1,0
ENTERPRISE PRODUCTS OPERATING LLC,0.1,0
GLASS MOUNTAIN PIPELINE,20,0
"PLAINS PIPELINE, L.P.",0.36,0
PLANTATION PIPE LINE CO,1.02,0
BP PIPELINE (NORTH AMERICA) INC.,0.59,0
COLONIAL PIPELINE CO,2.9,0.12
"NUTAAQ PIPELINE, LLC",0.01,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",104,0
SUNOCO PIPELINE L.P.,0.5,3.5
MID - VALLEY PIPELINE CO,1.2,0
"PLAINS PIPELINE, L.P.",300,0
WYOMING PIPELINE COMPANY,70,10
TIDELANDS OIL PRODUCTION COMPANY,0.5,0
ENTERPRISE PRODUCTS OPERATING LLC,1,0
COLONIAL PIPELINE CO,1.5,0
ENTERPRISE PRODUCTS OPERATING LLC,69,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
SUNOCO PIPELINE L.P.,5,15
"FRONTIER ENERGY SERVICES, L.L.C.",40,60
"JP ENERGY PERMIAN, LLC",8,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,0.29
"ROADRUNNER PIPELINE, L.L.C.",20,14
ENBRIDGE STORAGE (CUSHING) L.L.C.,152,0
SUNOCO PIPELINE L.P.,175,20
CONSOLIDATED EDISON CO OF NY,249,0
"GENESIS PIPELINE USA, L.P.",300,30
"MAGELLAN PIPELINE COMPANY, LP",31,0
ROSE ROCK MIDSTREAM L.P.,15,0
MARATHON PIPE LINE LLC,0.5,0
"PLAINS MARKETING, L.P.",0,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
"KINDER MORGAN LIQUID TERMINALS, LLC",0.8,0
"BUCKEYE PARTNERS, LP",0.6,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
IMTT-BAYONNE,300,59
KINDER MORGAN CO2 CO. LP,0,223
"BUCKEYE PARTNERS, LP",4.12,0.64
"OHIO RIVER VALLEY PIPELINE, LLC",125,25
DIXIE PIPELINE COMPANY LLC,0,4950
IMTT-BAYONNE,0,0
IMTT-BAYONNE,0,0
ROSE ROCK MIDSTREAM L.P.,238,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,0.27
TESORO SOCAL PIPELINE COMPANY LLC,30,0
COLONIAL PIPELINE CO,13.71,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.2
SUNOCO PIPELINE L.P.,0,0.24
"BUCKEYE PARTNERS, LP",0.23,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.2
"ONEOK NGL PIPELINE, LLC",0,4.8
"SHELL PIPELINE CO., L.P.",0.14,0
KINDER MORGAN WINK PIPELINE LLC ,0.24,0
"BUCKEYE PARTNERS, LP",0,2
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,1.74
ENBRIDGE STORAGE (CUSHING) L.L.C.,0.48,0
CITGO PRODUCTS PIPELINE CO,0,0.37
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.21,0
BP PIPELINE (NORTH AMERICA) INC.,0.23,0
ENTERPRISE PRODUCTS OPERATING LLC,0,8.3
COLONIAL PIPELINE CO,1.5,0
"SUMMIT MIDSTREAM PARTNERS, LLC",150,0
PHILLIPS 66 PIPELINE LLC,1.34,0
"PLAINS PIPELINE, L.P.",0.64,0
"MAGELLAN PIPELINE COMPANY, LP",20,0
MARATHON PIPE LINE LLC,0.1,0
"SFPP, LP",2.19,0
ENTERPRISE PRODUCTS OPERATING LLC,10,0
"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",0,29
"CHAPARRAL ENERGY, LLC",0,83
"PLAINS PIPELINE, L.P.",61,0
"MAGELLAN PIPELINE COMPANY, LP",0.07,9.93
ENBRIDGE STORAGE (CUSHING) L.L.C.,2.6,0
BUTTE PIPELINE CO,5,1
DOUBLE EAGLE PIPELINE LLC,0.9,0
EXPLORER PIPELINE CO,534,426
TC OIL PIPELINE OPERATIONS INC,400,0
JAYHAWK PIPELINE LLC,0,65.3
"KINDER MORGAN LIQUID TERMINALS, LLC",0.24,0
KINDER MORGAN WINK PIPELINE LLC ,4,0
"CHAPARRAL ENERGY, LLC",0,100.1
"SHELL PIPELINE CO., L.P.",2.1,0
KINDER MORGAN CRUDE AND CONDENSATE LLC,1.4,0
HARVEST PIPELINE COMPANY,45,5
ROSE ROCK MIDSTREAM L.P.,4,0
ENTERPRISE CRUDE PIPELINE LLC,1,0
COLONIAL PIPELINE CO,5.71,8.58
MARATHON PIPE LINE LLC,0,854
PHILLIPS 66 PIPELINE LLC,18,0
"PLAINS MARKETING, L.P.",123,0
"PLAINS PIPELINE, L.P.",190,0
"REPUBLIC MIDSTREAM, LLC",4,2
ALYESKA PIPELINE SERVICE CO,0,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",30,2
"MEDALLION OPERATING COMPANY, LLC",40,0
PHILLIPS 66 PIPELINE LLC,0.17,0
WEST TEXAS GULF PIPELINE CO,4,0
DOW PIPELINE CO - CAYUSE,0,0.7
ENERGY TRANSFER COMPANY,15,0
"ENLINK PROCESSING SERVICES, LLC",0,47.62
IMTT-BAYONNE,140,10
ROSE ROCK MIDSTREAM L.P.,4,0
ENTERPRISE CRUDE PIPELINE LLC,0.1,0
"PLAINS PIPELINE, L.P.",14,0
"MAGELLAN PIPELINE COMPANY, LP",23.5,26.5
PHILLIPS 66 PIPELINE LLC,11,80.1
ENERGY TRANSFER COMPANY,0,694
ENERGY TRANSFER COMPANY,0,63
THUMS LONG BEACH CO,2.98,0
"BUCKEYE PARTNERS, LP",0.48,0
"COUNTRYMARK REFINING AND LOGISTICS, LLC",0.6,0
"COUNTRYMARK REFINING AND LOGISTICS, LLC",2.3,0.1
KINDER MORGAN COCHIN LLC,1.48,0
"SUMMIT MIDSTREAM PARTNERS, LLC",31,0
"MAGELLAN PIPELINE COMPANY, LP",0.78,0.22
"MAGELLAN AMMONIA PIPELINE, L.P.",37.5,0
ENTERPRISE CRUDE PIPELINE LLC,0.01,0
"BUCKEYE PARTNERS, LP",0.6,0
KINDER MORGAN CO2 CO. LP,0,70
"SHELL PIPELINE CO., L.P.",5.8,0
IMTT-BAYONNE,0,2
PHILLIPS 66 PIPELINE LLC,3.61,0
"MAGELLAN PIPELINE COMPANY, LP",10,0
"KOCH PIPELINE COMPANY, L.P.",5,0
"MAGELLAN TERMINALS HOLDINGS, LP",38,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0,0.14
ENTERPRISE CRUDE PIPELINE LLC,0.1,0
"SHELL PIPELINE CO., L.P.",400,100
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
"CHAPARRAL ENERGY, LLC",0,24
"ONEOK NGL PIPELINE, LLC",0,0.16
TESORO HIGH PLAINS PIPELINE COMPANY LLC,0,0
DIXIE PIPELINE COMPANY LLC,0,0.2
"PLAINS PIPELINE, L.P.",20,0
ENTERPRISE CRUDE PIPELINE LLC,25,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0.36,0
"ONEOK NGL PIPELINE, LLC",0,0.02
SUNOCO PIPELINE L.P.,0,9.1
"KINDER MORGAN LIQUID TERMINALS, LLC",18,6
TESORO SOCAL PIPELINE COMPANY LLC,15,0
"SHELL PIPELINE CO., L.P.",15,0
MID - VALLEY PIPELINE CO,2,0
"MAGELLAN PIPELINE COMPANY, LP",25,0
KINDER MORGAN WINK PIPELINE LLC ,0,0.29
WEST SHORE PIPELINE CO,0.48,0
EXXONMOBIL PIPELINE CO,0,1.97
"KINDER MORGAN LIQUID TERMINALS, LLC",0.35,0
WOLVERINE PIPELINE CO,280,0
WEST TEXAS GULF PIPELINE CO,195,5
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
SUNOCO PIPELINE L.P.,0,1
MARATHON PIPE LINE LLC,0.5,0
JAYHAWK PIPELINE LLC,365,105.8
"MAGELLAN PIPELINE COMPANY, LP",0.7,0.01
"PLAINS PIPELINE, L.P.",0.48,0
"FRONT RANGE PIPELINE, LLC.",8,2
"MAGELLAN PIPELINE COMPANY, LP",58,2
EXXONMOBIL OIL CORP - WEST COAST,0.12,0
SUNOCO PIPELINE L.P.,0.33,0
HARVEST PIPELINE COMPANY,1,1
CAMINO REAL GATHERING CO LLC,4.4,0
"PLAINS PIPELINE, L.P.",173,0
ENTERPRISE CRUDE PIPELINE LLC,0.01,0
"PLAINS PIPELINE, L.P.",15,0
"VITOL MIDSTREAM, LLC",0.5,3.7
TESORO HIGH PLAINS PIPELINE COMPANY LLC,0.12,0
"KURARAY AMERICA, INC. ",0.11,0
"PLAINS MARKETING, L.P.",1,0
"ONEOK NGL PIPELINE, LLC",0,0.71
CRIMSON PIPELINE L.P.,700,375
COLONIAL PIPELINE CO,0.2,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,10
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
EXXONMOBIL PIPELINE CO,121,9
KINDER MORGAN WINK PIPELINE LLC ,222,0
SUNOCO PIPELINE L.P.,0.25,0
"VITOL MIDSTREAM, LLC",1,2
ENTERPRISE CRUDE PIPELINE LLC,1,0
PLANTATION PIPE LINE CO,11.93,0.12
BHP BILLITON PETROLEUM (EAGLE FORD GATHERING) LLC,0,5.6
"DELEK CRUDE LOGISTICS, LLC.",13.21,0
WILLIAMS FIELD SERVICES,0,2.28
DCP MIDSTREAM,0,81.4
"MAGELLAN PIPELINE COMPANY, LP",1.19,0
"SHELL PIPELINE CO., L.P.",0,16.91
"PLAINS PIPELINE, L.P.",300,0
EXXONMOBIL PIPELINE CO,0,90
MARATHON PIPE LINE LLC,0,1.1
SEADRIFT PIPELINE CORP,0,0.38
SUNOCO PIPELINE L.P.,0,0.5
PLANTATION PIPE LINE CO,9.6,0
"BUCKEYE PARTNERS, LP",4.76,0
SUNOCO PIPELINE L.P.,40,10
ENTERPRISE PRODUCTS OPERATING LLC,2,0
"NUSTAR LOGISTICS, L.P.",0.88,0
SUNOCO PIPELINE L.P.,0.12,0
"MEDALLION OPERATING COMPANY, LLC",0,1
HAWAII INDEPENDENT ENERGY,12,2
MARATHON PIPE LINE LLC,0.2,0
"PLAINS PIPELINE, L.P.",1,0
TESORO SOCAL PIPELINE COMPANY LLC,3,0
ENTERPRISE PRODUCTS OPERATING LLC,0,5.9
"PLAINS PIPELINE, L.P.",10,0
"BUCKEYE DEVELOPMENT & LOGISTICS, LLC",0,2
"MAGELLAN AMMONIA PIPELINE, L.P.",0,25
ENTERPRISE CRUDE PIPELINE LLC,4,0
"PLAINS MARKETING, L.P.",0.36,0
MARATHON PIPE LINE LLC,0,4.87
EXXONMOBIL PIPELINE CO,0.28,0
ENERGY TRANSFER COMPANY,6,4
"ITC PIPELINE COMPANY, LLC",0,0.18
SUNOCO PIPELINE L.P.,0.36,0
ENTERPRISE CRUDE PIPELINE LLC,1,0
WEST TEXAS GULF PIPELINE CO,500,200
"PLAINS PIPELINE, L.P.",250,0
MID - VALLEY PIPELINE CO,2,0
DCP MIDSTREAM,0,203
ENTERPRISE CRUDE PIPELINE LLC,0.6,0
"EQUISTAR CHEMICALS, L.P.",0,6.15
"CRIMSON GULF, LLC",3.5,0.5
TESORO SOCAL PIPELINE COMPANY LLC,295,0
DCP MIDSTREAM,0,17
COLONIAL PIPELINE CO,47.8,4.4
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",10,0
ENTERPRISE PRODUCTS OPERATING LLC,0,56
COLONIAL PIPELINE CO,0.24,0
COLONIAL PIPELINE CO,70.8,1
TORRANCE VALLEY PIPELINE COMPANY LLC,50.24,0
WEST COAST TERMINAL PIPELINE  (WCTP),0.69,0
PHILLIPS 66 PIPELINE LLC,0,0.7
COLONIAL PIPELINE CO,15,0
DIXIE PIPELINE COMPANY LLC,0,6.91
MOBIL  PIPE  LINE COMPANY,0,4.4
SUNOCO PIPELINE L.P.,0,5
"DELEK LOGISTICS OPERATING, LLC.",18,2
"SFPP, LP",0.9,0.89
PLANTATION PIPE LINE CO,0.69,0
PHILLIPS 66 PIPELINE LLC,0,0
IMTT-BAYONNE,0,0.05
COLONIAL PIPELINE CO,0.24,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
ENTERPRISE CRUDE PIPELINE LLC,0.8,0
NGL CRUDE TERMINALS,3,0
"MAGELLAN PIPELINE COMPANY, LP",0.47,0
TRANSMONTAIGNE OPERATING COMPANY L.P.,45,0
"PLAINS PIPELINE, L.P.",4,0
"KINDER MORGAN LIQUID TERMINALS, LLC",2.5,0
"MAGELLAN PIPELINE COMPANY, LP",0.2,0
HARVEST PIPELINE COMPANY,0,3
"ONEOK NGL PIPELINE, LLC",0,7.2
DCP MIDSTREAM,0,2.48
HARVEST PIPELINE COMPANY,160,0
"PLAINS PIPELINE, L.P.",20,0
"KINDER MORGAN LIQUID TERMINALS, LLC",16,0
"BUCKEYE DEVELOPMENT & LOGISTICS, LLC",0.03,0
ENTERPRISE CRUDE PIPELINE LLC,19,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0,0.02
SUNOCO PIPELINE L.P.,3,0
ENTERPRISE CRUDE PIPELINE LLC,60,0
COLONIAL PIPELINE CO,2111,5259
SUNOCO PIPELINE L.P.,1560,7040
"TEXSTAR MIDSTREAM LOGISTICS, LP",18,150
"WESTERN REFINING PIPELINE, LLC",4.5,0
"HILAND CRUDE, LLC",4,0
KINDER MORGAN CO2 CO. LP,0,0.7
"BUCKEYE PARTNERS, LP",0,0.4
BP PIPELINE (NORTH AMERICA) INC.,22,0
COLONIAL PIPELINE CO,0.6,0
EXPLORER PIPELINE CO,1.07,0
"BUCKEYE PARTNERS, LP",1,0
SUNOCO PIPELINE L.P.,0.24,0
"CHAPARRAL ENERGY, LLC",0,1208
"MAGELLAN AMMONIA PIPELINE, L.P.",4.9,0.1
"BUCKEYE PARTNERS, LP",2,0.38
"PLAINS PIPELINE, L.P.",5,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.5
ENTERPRISE CRUDE PIPELINE LLC,4,0
EXPLORER PIPELINE CO,0.31,0
"MAGELLAN PIPELINE COMPANY, LP",0.2,0
"MAGELLAN PIPELINE COMPANY, LP",4.1,0.9
"VITOL MIDSTREAM, LLC",0,6.3
"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",5,0
"BUCKEYE PARTNERS, LP",1.19,0
PLANTATION PIPE LINE CO,1.05,0
EXPLORER PIPELINE CO,10.71,0
"BUCKEYE PARTNERS, LP",0.5,0
ENERGY TRANSFER COMPANY,8,3.5
ENTERPRISE CRUDE PIPELINE LLC,0.01,0
COLONIAL PIPELINE CO,0.12,1.38
DCP MIDSTREAM,0,0.12
CITGO PRODUCTS PIPELINE CO,0,0
COLONIAL PIPELINE CO,2,5.9
ENTERPRISE CRUDE PIPELINE LLC,0.3,0
"BUCKEYE PARTNERS, LP",0.6,0
"PLAINS PIPELINE, L.P.",575,0
WILLIAMS FIELD SERVICES,0,1.58
"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",6,0
WYOMING PIPELINE COMPANY,1.5,0.5
DCP MIDSTREAM,0,0
ENTERPRISE CRUDE PIPELINE LLC,1,0
PLANTATION PIPE LINE CO,0.86,0
"MAGELLAN AMMONIA PIPELINE, L.P.",1064,1523
INLAND CORPORATION,40,0
"NUSTAR LOGISTICS, L.P.",1,2.48
ENTERPRISE PRODUCTS OPERATING LLC,0,649
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.15,0
SUNOCO PIPELINE L.P.,0,1238
ENTERPRISE CRUDE PIPELINE LLC,7327,276
JAYHAWK PIPELINE LLC,1.2,0
"MAGELLAN PIPELINE COMPANY, LP",0.71,0
MARATHON PIPE LINE LLC,0.2,0
SUNOCO PIPELINE L.P.,0.28,0.09
"WHITE CLIFFS PIPELINE, LLC",1687,35
PHILLIPS 66 PIPELINE LLC,2.82,0
COLONIAL PIPELINE CO,0,4444.5
HARVEST PIPELINE COMPANY,2,0
KINDER MORGAN WINK PIPELINE LLC ,1.5,0
EXXONMOBIL PIPELINE CO,0,0.14
"MAGELLAN TERMINALS HOLDINGS, LP",0.02,0
OLYMPIC PIPE LINE COMPANY,0.27,0
TESORO LOGISTICS NORTHWEST PIPELINE LLC,0,0.71
"BUCKEYE PARTNERS, LP",0.05,0
"PLAINS PIPELINE, L.P.",2,0
ENTERPRISE CRUDE PIPELINE LLC,0.5,0
"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",4,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0
ENTERPRISE PRODUCTS OPERATING LLC,0,1820
"KINDER MORGAN LIQUID TERMINALS, LLC",7,0
EXPLORER PIPELINE CO,569.81,86.96
MARATHON PIPE LINE LLC,3,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
"SFPP, LP",1.4,0
JAYHAWK PIPELINE LLC,41,31
"ONEOK NGL PIPELINE, LLC",0,4.2
IMTT-BAYONNE,0,5
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0.3,0.1
"BUCKEYE PARTNERS, LP",5,0
KINDER MORGAN CO2 CO. LP,0,0.38
"PLAINS PIPELINE, L.P.",25,0
PHILLIPS 66 PIPELINE LLC,0.13,0
DCP MIDSTREAM,0,1.98
"PLAINS PIPELINE, L.P.",20,0
ENTERPRISE PRODUCTS OPERATING LLC,0,5000
COLONIAL PIPELINE CO,5,0.1
ENTERPRISE PRODUCTS OPERATING LLC,0.1,0.1
HARVEST PIPELINE COMPANY,0,0.24
EXXONMOBIL PIPELINE CO,500,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.4
WYOMING PIPELINE COMPANY,190,1
MARATHON PIPE LINE LLC,0.1,0
BELLE FOURCHE PIPELINE CO,2798,1402
SUNOCO PIPELINE L.P.,0.22,0
DIXIE PIPELINE COMPANY LLC,0,33
ENTERPRISE PRODUCTS OPERATING LLC,25,9.1
PHILLIPS 66 COMPANY - SWEENY REFINERY,11.4,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,15
"MAGELLAN PIPELINE COMPANY, LP",5,0
"ONEOK NGL PIPELINE, LLC",0,2.1
"ONEOK NGL PIPELINE, LLC",0,4.16
PLANTATION PIPE LINE CO,0,0
CENTURION PIPELINE L.P.,25,35
ENTERPRISE CRUDE PIPELINE LLC,2,0
"BUCKEYE PARTNERS, LP",105,45
"KINDER MORGAN LIQUID TERMINALS, LLC",1.19,0
PHILLIPS 66 PIPELINE LLC,0.22,0
"MEDALLION OPERATING COMPANY, LLC",0,30
SUNOCO PIPELINE L.P.,5,0
MID - VALLEY PIPELINE CO,0.12,0
SUNOCO PIPELINE L.P.,75,0
MARATHON PIPE LINE LLC,1.7,0
"CCPS TRANSPORTATION, LLC",12.5,0
ENTERPRISE CRUDE PIPELINE LLC,3,0
PHILLIPS 66 PIPELINE LLC,202,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",2,1
TC OIL PIPELINE OPERATIONS INC,0.25,0
EXXONMOBIL PIPELINE CO,0,580
ENBRIDGE STORAGE (CUSHING) L.L.C.,1,0
MARATHON PIPE LINE LLC,0.2,0
ENTERPRISE CRUDE PIPELINE LLC,4,0