Year,State,UnintentionalReleaseBarrels
2010,AL,0.24
2010,CA,981.98
2010,IL,10139.47
2010,KS,6216.04
2010,LA,4596.07
2010,MI,22324.48
2010,ND,3846.8
2010,OK,15216.49
2010,TX,17786.600000000002
2011,AL,73.0
2011,CA,272.42
2011,IL,5921.089999999999
2011,KS,1396.75
2011,LA,210.10999999999999
2011,MI,9007.25
2011,ND,2421.0
2011,OK,6806.83
2011,TX,48794.97
2012,AL,8.21
2012,CA,777.21
2012,IL,3213.59
2012,KS,1177.76
2012,LA,3584.9
2012,MI,25.38
2012,ND,226.23
2012,OK,1373.13
2012,TX,25847.38
2013,AL,1.3
2013,CA,813.1899999999999
2013,IL,18759.980000000003
2013,KS,775.22
2013,LA,23876.48
2013,MI,23.220000000000002
2013,ND,21606.99
2013,OK,4296.93
2013,TX,17474.899999999998
2014,AL,922.24
2014,CA,2647.8
2014,IL,714.85
2014,KS,304.1
2014,LA,5055.4800000000005
2014,MI,82.87
2014,ND,1555.11
2014,OK,1525.73
2014,TX,13980.2
2015,AL,9.78
2015,CA,4709.07
2015,IL,277.73
2015,KS,2417.3
2015,LA,2799.5800000000004
2015,MI,22.19
2015,ND,417.68
2015,OK,4368.65
2015,TX,50981.4
2016,AL,11852.49
2016,CA,2205.68
2016,IL,4.5
2016,KS,2974.3900000000003
2016,LA,8999.02
2016,MI,280.0
2016,ND,4429.7
2016,OK,8117.9
2016,TX,19196.91